,Date,Map,Team 1 ID,Team 1 Start Side,Team 1 Score,Team 1 Half 1 Score,Team 1 Half 2 Score,Team 1 Overtime Score,Team 2 ID,Team 2 Start Side,Team 2 Score,Team 2 Half 1 Score,Team 2 Half 2 Score,Team 2 Overtime Score,Match ID,HomeWin,HomeLastWin,VisitorLastWin,HomeWinStreak,VisitorWinStreak
4367,7/14/17,Train,7962,T,16,8,8,0,7491,CT,13,7,6,0,2312695/sz-absolute-vs-jyp-wca-2017-asia-pacific-open-qualifier,True,True,False,1,0
4368,7/14/17,Cache,7479,CT,16,12,4,0,7893,T,4,3,1,0,2312680/emp-vs-eclipseo-wca-2017-china-qualifier-2,True,False,False,0,0
4369,7/14/17,Mirage,7479,CT,16,11,5,0,7893,T,10,4,6,0,2312680/emp-vs-eclipseo-wca-2017-china-qualifier-2,True,True,False,1,0
4370,7/14/17,Inferno,7577,CT,16,12,4,0,6715,T,9,3,6,0,2312692/vindicta-vs-mineski-wca-2017-asia-pacific-open-qualifier,True,0,True,0,2
4371,7/15/17,Train,5153,T,16,14,2,0,8111,CT,5,1,4,0,2312684/energy-vs-big-5-esl-african-championship-series-1-2017,True,True,0,2,0
4372,7/15/17,Cache,5153,CT,16,12,4,0,8111,T,7,3,4,0,2312684/energy-vs-big-5-esl-african-championship-series-1-2017,True,True,False,3,0
4373,7/15/17,Inferno,7606,T,14,10,4,0,7716,CT,16,5,11,0,2312696/vici-vs-uya-wca-2017-china-qualifier-2,False,True,True,2,2
4374,7/15/17,Cobblestone,7606,CT,16,11,5,0,7716,T,8,4,4,0,2312696/vici-vs-uya-wca-2017-china-qualifier-2,True,False,True,0,3
4375,7/15/17,Train,7175,T,16,10,6,0,7613,CT,13,5,8,0,2312357/heroic-vs-red-reserve-dreamhack-open-valencia-2017,True,True,True,2,2
4376,7/15/17,Overpass,7175,T,14,4,10,0,7613,CT,16,11,5,0,2312357/heroic-vs-red-reserve-dreamhack-open-valencia-2017,False,True,False,3,0
4377,7/15/17,Mirage,7175,CT,17,12,3,2,7613,T,19,3,12,4,2312357/heroic-vs-red-reserve-dreamhack-open-valencia-2017,False,False,True,0,1
4378,7/15/17,Mirage,4411,T,16,6,10,0,7613,CT,10,9,1,0,2312358/nip-vs-red-reserve-dreamhack-open-valencia-2017,True,True,True,2,2
4379,7/15/17,Cache,4411,CT,16,13,3,0,7613,T,2,2,0,0,2312358/nip-vs-red-reserve-dreamhack-open-valencia-2017,True,True,False,3,0
4380,7/15/17,Cobblestone,4822,CT,4,4,0,0,7856,T,16,11,5,0,2312443/reason-vs-envyus-academy-gfinity-elite-series,False,True,True,1,5
4381,7/15/17,Inferno,4822,T,7,6,1,0,7856,CT,16,9,7,0,2312443/reason-vs-envyus-academy-gfinity-elite-series,False,False,True,0,6
4382,7/15/17,Mirage,6113,CT,12,5,7,0,8032,T,16,10,6,0,2312411/excel-vs-prophecy-gfinity-elite-series,False,True,True,1,2
4383,7/15/17,Train,6113,CT,10,8,2,0,8032,T,16,7,9,0,2312411/excel-vs-prophecy-gfinity-elite-series,False,False,True,0,3
4384,7/15/17,Cache,4554,T,17,11,4,2,7234,CT,19,4,11,4,2312410/infused-vs-endpoint-gfinity-elite-series,False,False,False,0,0
4385,7/15/17,Mirage,4554,T,16,12,4,0,7234,CT,6,3,3,0,2312410/infused-vs-endpoint-gfinity-elite-series,True,False,True,0,1
